Id,Name,經度,緯度,類別
137,V1SNV00,121.55244,24.98919,vd
138,V1TT960,121.5739,24.99044,vd
139,V1VJK40,121.53415,24.99333,vd
140,V1XLD00,121.53949,24.9886,vd
141,V2101B0,121.53391,25.00871,vd
142,V2110C0,121.54382,25.01668,vd
143,V2120C0,121.54746,25.01974,vd
144,V2130C0,121.54777,25.02027,vd
145,V2310G0,121.54124,25.01491,vd
146,V2311G0,121.53894,25.01247,vd
147,V2320G0,121.51194,25.02402,vd
148,V2321G0,121.54382,25.01668,vd
149,V2330G0,121.53544,24.99933,vd
150,V2KLN40,121.5403,24.99852,vd
151,V2LSS20,121.57161,24.99371,vd
152,V2PK0E0,121.53703,24.9981,vd
153,V2RTQ20,121.57447,24.99505,vd
154,V2WUA20,121.57683,24.99652,vd
155,V2ZUI60,121.58066,24.99918,vd
156,V3110C0,121.53469,25.01061,vd
157,V3120C0,121.53797,25.0236,vd
158,V3132C0,121.53374,25.02222,vd
159,V3310G0,121.53252,25.022,vd
160,V3311G0,121.53374,25.02222,vd
161,V3320G0,121.53049,25.02038,vd
162,V3330G0,121.5435,25.02135,vd
163,V36F660,121.50768,25.11348,vd
164,V37JI40,121.53189,25.11382,vd
165,V3AIL00,121.52572,25.11153,vd
166,V3MER00,121.50839,25.11345,vd
167,V3UNW00,121.5511,25.11591,vd
168,V3ZT820,121.57036,25.11472,vd
169,V4010A0,121.53538,25.00358,vd
170,V4011A0,121.53411,25.00618,vd
171,V4020A0,121.52811,25.01138,vd
172,V4031A0,121.52666,25.01402,vd
173,V4040H1,121.52566,25.01583,vd
174,V4050G0,121.50791,25.02249,vd
175,V4060G0,121.50405,25.01991,vd
176,V4070G0,121.5233,25.01905,vd
177,V4080G0,121.4916,25.02288,vd
178,V4081G0,121.49294,25.01907,vd
179,V4090H0,121.48869,25.02927,vd
180,V40A2G0,121.49603,25.01625,vd
181,V4210D0,121.49569,25.01638,vd
182,V4220D0,121.50647,25.02105,vd
183,V4221E0,121.49411,25.01713,vd
184,V4230B0,121.50078,25.018,vd
185,V4231C0,121.49608,25.01652,vd
186,V4250B0,121.51474,25.02378,vd
187,V4261E0,121.51125,25.02366,vd
188,V4270C0,121.51997,25.02064,vd
189,V4271C0,121.51625,25.02308,vd
190,V4280C0,121.5359,24.99858,vd
191,V4290C0,121.52564,25.0155,vd
192,V4291E0,121.52292,25.02042,vd
193,V42A0D0,121.53088,25.01,vd
194,V42B0D0,121.53535,25.00297,vd
195,V42B1D0,121.53391,25.00871,vd
196,V42B1E0,121.54035,25.01372,vd
197,V42C0E0,121.53341,24.99205,vd
198,V42E2E0,121.51661,25.02183,vd
199,V42F2E0,121.5008,25.01827,vd
200,V42I2E0,121.52308,25.01978,vd
201,V42K2C0,121.49327,25.01907,vd
202,V42K2C1,121.48961,25.02725,vd
203,V4NJD00,121.52892,25.11713,vd
204,V4VDD40,121.51131,25.10844,vd
205,V5050A0,121.49249,25.03685,vd
206,V5051A0,121.4911,25.03639,vd
207,V5060B0,121.49869,25.04074,vd
208,V5062G0,121.50781,25.05067,vd
209,V5070A0,121.50786,25.05507,vd
210,V5070A1,121.50208,25.04502,vd
211,V5070A2,121.50544,25.04802,vd
212,V5080A0,121.50747,25.05447,vd
213,V50B0A0,121.5071,25.08271,vd
214,V50C2A0,121.49947,25.04199,vd
215,V5250E0,121.50652,25.05072,vd
216,V5260E0,121.49588,25.039,vd
217,V5261E0,121.50639,25.04919,vd
218,V5261F0,121.50464,25.04774,vd
219,V5271E0,121.50142,25.04514,vd
220,V52A0E0,121.48836,25.03172,vd
221,V52B1E0,121.49569,25.01638,vd
222,V52C0E0,121.48975,25.02691,vd
