id_org,long,lat,type,id,coordinate
松江南京站出口1,121.53238799999998,25.051842,mrt,68,"25.051842,121.53238799999998"
北門站出口1,121.50986200000001,25.048737,mrt,69,"25.048737,121.50986200000001"
台北小巨蛋站出口1,121.55153,25.051835999999998,mrt,70,"25.051835999999998,121.55153"
南京三民站出口1,121.563643,25.051517,mrt,71,"25.051517,121.563643"
松山站出口1,121.577022,25.050171,mrt,72,"25.050171,121.577022"
V0111C0,121.51601000000001,25.048579999999998,vd,73,"25.048579999999998,121.51601000000001"
V0112A0,121.50693999999999,25.05191,vd,74,"25.05191,121.50693999999999"
V0120C0,121.51163999999999,25.04985,vd,75,"25.04985,121.51163999999999"
V0130A0,121.51876000000001,25.04831,vd,76,"25.04831,121.51876000000001"
V0130A1,121.52615,25.04726,vd,77,"25.04726,121.52615"
V0140C0,121.53311000000001,25.04524,vd,78,"25.04524,121.53311000000001"
V0140C1,121.54115,25.0445,vd,79,"25.0445,121.54115"
V0150C0,121.54303,25.04469,vd,80,"25.04469,121.54303"
V0150C1,121.54796999999999,25.04489,vd,81,"25.04489,121.54796999999999"
V0150C2,121.55138000000001,25.044520000000002,vd,82,"25.044520000000002,121.55138000000001"
V0160C0,121.55738000000001,25.04503,vd,83,"25.04503,121.55738000000001"
V0380F0,121.5662,25.045460000000002,vd,84,"25.045460000000002,121.5662"
V0390G0,121.56018,25.04523,vd,85,"25.04523,121.56018"
V03A0G0,121.55542,25.04478,vd,86,"25.04478,121.55542"
V03B0G0,121.54777,25.04506,vd,87,"25.04506,121.54777"
V03C0G0,121.54113999999998,25.04469,vd,88,"25.04469,121.54113999999998"
V03C0G1,121.53446000000001,25.04524,vd,89,"25.04524,121.53446000000001"
V03D0G0,121.52618999999999,25.047439999999998,vd,90,"25.047439999999998,121.52618999999999"
V03D0G1,121.52304,25.04798,vd,91,"25.04798,121.52304"
V03D0G2,121.5188,25.04849,vd,92,"25.04849,121.5188"
V03E0G0,121.51461,25.0492,vd,93,"25.0492,121.51461"
V03E0G1,121.5117,25.05004,vd,94,"25.05004,121.5117"
V0UVS20,121.5834,24.97714,vd,95,"24.97714,121.5834"
V1001A0,121.53797,25.0236,vd,96,"25.0236,121.53797"
V1001B0,121.538,25.02758,vd,97,"25.02758,121.538"
V1010A0,121.53201999999999,25.02216,vd,98,"25.02216,121.53201999999999"
V1010A1,121.53732,25.02646,vd,99,"25.02646,121.53732"
V1011A0,121.53805,25.03454,vd,100,"25.03454,121.53805"
V1020A1,121.53751000000001,25.03409,vd,101,"25.03409,121.53751000000001"
V1021A0,121.538,25.038710000000002,vd,102,"25.038710000000002,121.538"
V1030A0,121.53758,25.03905,vd,103,"25.03905,121.53758"
V1040A0,121.53635,25.04287,vd,104,"25.04287,121.53635"
V1050A0,121.53721000000002,25.05735,vd,105,"25.05735,121.53721000000002"
V1051A1,121.53705,25.052410000000002,vd,106,"25.052410000000002,121.53705"
V1060A0,121.53646,25.04924,vd,107,"25.04924,121.53646"
V1070A1,121.53658,25.056379999999997,vd,108,"25.056379999999997,121.53658"
V1080A0,121.53683000000001,25.06396,vd,109,"25.06396,121.53683000000001"
V10C0A0,121.53633,25.04563,vd,110,"25.04563,121.53633"
V10D2A0,121.53728000000001,25.0605,vd,111,"25.0605,121.53728000000001"
V10E2A0,121.53705,25.04966,vd,112,"25.04966,121.53705"
